CREATED_DATE,SPECIES,LATITUDE,LONGITUDE
2016 Feb 25 12:41:00 PM,WALLAROO,-35.27146269,149.0884465
2016 Feb 26 01:49:00 PM,BRUSHTAIL POSSUM,-35.26424168,149.1340073
2016 Feb 26 06:13:00 AM,WOMBAT,-35.34147029,149.051432
2016 Feb 27 05:59:00 AM,BROWN SNAKE,-35.32431194,149.1325904
2016 Feb 27 08:23:00 PM,BRUSHTAIL POSSUM,-35.46242361,149.0805525
2016 Feb 28 01:19:00 PM,WOMBAT,-35.40121026,149.059443
2016 Feb 28 11:09:00 AM,WALLAROO,-35.19347238,149.0896736
2016 Feb 29 05:08:00 PM,BROWN SNAKE,-35.35783297,149.0433397
2016 Feb 29 08:34:00 AM,GALAH,-35.31270736,149.1391295
2016 Feb 29 09:40:00 AM,SWAMP WALLABY,-35.24556197,149.1107078
2016 Feb 29 09:41:00 AM,WALLAROO,-35.25475444,149.0934453
2016 Jan 01 01:34:00 PM,CURRAWONG,-35.37820218,149.0521512
2016 Jan 01 06:29:00 PM,MAGPIES,-35.38484005,149.0747789
2016 Jan 01 06:31:00 PM,BROWN SNAKE,-35.42994895,149.1010782
2016 Jan 02 08:40:00 AM,COCKATOO,-35.31167361,149.1413054
2016 Jan 03 08:51:00 AM,EASTERN GREY KANGAROO,-35.26378056,149.0712238
2016 Jan 03 09:51:00 AM,BRUSHTAIL POSSUM,-35.22115549,149.1023545
2016 Jan 03 10:17:00 PM,BROWN SNAKE,-35.33254589,149.0308279
2016 Jan 03 10:37:00 AM,WALLAROO,-35.42340273,149.0857681
2016 Jan 03 12:25:00 PM,EASTERN GREY KANGAROO,-35.2125311,149.1376803
2016 Jan 04 01:03:00 PM,EASTERN GREY KANGAROO,-35.34217257,149.1229529
2016 Jan 04 01:05:00 PM,WALLABY,-35.38737957,149.1693935
2016 Jan 07 07:16:00 AM,CURRAWONG,-35.3422961,149.0783293
2016 Jan 07 09:40:00 AM,RED NECKED WALLABY,-35.35619199,149.0316076
2016 Jan 07 11:23:00 AM,SWAN,-35.292048,149.0890242
2016 Jan 07 12:58:00 PM,BROWN SNAKE,-35.37727472,149.0460265
2016 Jan 08 01:50:00 PM,EASTERN GREY KANGAROO,-35.15849885,149.1255586
2016 Jan 08 04:51:00 AM,EASTERN GREY KANGAROO,-35.23106487,149.0809856
2016 Jan 09 02:08:00 PM,BROWN SNAKE,-35.37885084,149.1005193
2016 Jan 09 07:41:00 PM,EASTERN GREY KANGAROO,-35.38548958,149.2128369
2016 Jan 09 08:38:00 AM,WOMBAT,-35.42067451,149.06387
2016 Jan 11 01:31:00 PM,BROWN SNAKE,-35.33066805,149.1792358
2016 Jan 11 10:27:00 AM,BROWN SNAKE,-35.29955949,149.1369209
2016 Jan 11 12:03:00 PM,BROWN SNAKE,-35.31390104,149.1448377
2016 Jan 12 01:19:00 PM,BRUSHTAIL POSSUM,-35.31046461,149.1352597
2016 Jan 12 05:12:00 AM,WALLABY,-35.37620627,149.0930161
2016 Jan 12 07:24:00 AM,WALLABY,-35.16898291,149.1251847
2016 Jan 12 07:39:00 AM,EASTERN GREY KANGAROO,-35.18231336,149.0777058
2016 Jan 13 03:40:00 PM,BROWN SNAKE,-35.39226304,149.0357009
2016 Jan 13 04:13:00 PM,BROWN SNAKE,-35.17288822,149.0930189
2016 Jan 13 06:12:00 PM,BROWN SNAKE,-35.43265276,149.0848429
2016 Jan 13 07:26:00 PM,BROWN SNAKE,-35.30274623,149.2046686
2016 Jan 13 07:28:00 PM,BROWN SNAKE,-35.19531176,149.0236935
2016 Jan 13 07:42:00 PM,BROWN SNAKE,-35.21116068,149.0011044
2016 Jan 13 10:57:00 PM,BRUSHTAIL POSSUM,-35.21298435,149.0773819
2016 Jan 14 08:09:00 AM,BROWN SNAKE,-35.2334334,149.1119707
2016 Jan 15 10:27:00 AM,CURRAWONG,-35.32351497,149.0720327
2016 Jan 15 11:55:00 AM,BROWN SNAKE,-35.48890135,149.0779316
2016 Jan 16 05:50:00 AM,WALLAROO,-35.24949746,149.0731931
2016 Jan 17 03:23:00 PM,BROWN SNAKE,-35.1970007,149.1293058
2016 Jan 17 10:41:00 AM,BROWN SNAKE,-35.23343307,149.0778529
2016 Jan 17 11:06:00 AM,BROWN SNAKE,-35.33500844,149.0559788
